order_id,customer_id,product_id,order_date,quantity,discount,payment_method,name,gender,age,region,signup_date,product_name,category_id,price,category_name,return_id,net_price,is_returned,month,discount_bin
1,200,175,2024-12-20,3,5,Cash on Delivery,Taimur Bansal,Male,25,Bengaluru,2022-10-01,White Smartphone,3,51034.7,Smartphones,,145448.89499999996,0,2024-12,0–10%
2,25,66,2024-12-29,5,25,UPI,Tarini Anne,Female,47,Delhi,2022-04-26,Plum Gaming Console,19,30047.65,Gaming Consoles,,112678.6875,0,2024-12,20–30%
3,109,55,2024-07-21,1,15,Card,Jayan Ahluwalia,Female,37,Delhi,2023-08-25,WhiteSmoke Gaming Console,19,16921.41,Gaming Consoles,,14383.198499999999,0,2024-07,10–20%
4,108,36,2025-02-26,1,30,UPI,Anahita Baral,Female,48,Mumbai,2023-03-20,Thistle Smartphone,3,42388.83,Smartphones,,29672.181,0,2025-02,20–30%
5,156,158,2025-06-21,4,0,Card,Samar Wali,Male,25,Hyderabad,2024-04-19,Khaki Shampoo,9,158.12,Beauty,130.0,632.48,1,2025-06,0%
6,88,60,2024-09-16,5,25,UPI,Lakshay Bhasin,Male,48,Kolkata,2021-09-24,Teal Saree,1,1096.45,Clothing,90.0,4111.6875,1,2024-09,20–30%
7,18,187,2025-03-29,1,15,Card,Abram Butala,Male,35,Pune,2023-03-16,Yellow DSLR Camera,18,225198.26,Cameras,,191418.521,0,2025-03,10–20%
8,57,27,2024-07-20,3,30,NetBanking,Ehsaan Bhavsar,Male,31,Hyderabad,2023-10-22,Beige Digital Thermometer,17,3867.92,Health & Personal Care,30.0,8122.632,1,2024-07,20–30%
9,98,7,2025-03-24,4,5,UPI,Mishti Mani,Male,19,Ahmedabad,2022-05-26,DarkGreen T‑Shirt,1,2410.33,Clothing,,9159.253999999999,0,2025-03,0–10%
10,170,1,2024-08-16,1,30,UPI,Rasha Khare,Female,18,Mumbai,2023-09-10,Silver Formal Shoes,2,804.15,Footwear,,562.905,0,2024-08,20–30%
11,67,168,2024-12-13,2,30,UPI,Himmat Rajan,Female,55,Pune,2023-10-20,Gainsboro Kurta,1,2579.9,Clothing,,3611.8599999999997,0,2024-12,20–30%
12,140,71,2025-05-07,1,30,Card,Aayush Jani,Female,37,Pune,2021-12-31,Turquoise Football,12,3808.86,Sports Equipment,,2666.2019999999998,0,2025-05,20–30%
13,164,145,2025-01-04,3,15,UPI,Baiju Sangha,Male,26,Chennai,2024-06-12,SlateBlue Novel,5,816.45,Books,,2081.9475,0,2025-01,10–20%
14,69,20,2025-06-25,5,25,UPI,Gatik Chandra,Male,20,Chennai,2023-11-03,Beige Marker Pack,6,418.27,Stationery,,1568.5124999999998,0,2025-06,20–30%
15,83,31,2024-07-10,4,20,Cash on Delivery,Oorja Tak,Female,45,Kolkata,2021-09-04,DeepSkyBlue Analog Watch,15,844.18,Watches,,2701.376,0,2024-07,10–20%
16,76,32,2024-07-17,3,10,Card,Vidur Varghese,Female,50,Bengaluru,2024-07-01,Ivory Analog Watch,15,999.45,Watches,,2698.5150000000003,0,2024-07,0–10%
17,91,195,2025-02-15,3,30,NetBanking,Jivin Hans,Female,24,Pune,2023-08-11,BlueViolet Digital Thermometer,17,5870.29,Health & Personal Care,,12327.608999999999,0,2025-02,20–30%
18,17,121,2024-10-11,2,5,UPI,Ivan Rao,Male,59,Pune,2022-09-10,Plum Car Vacuum,13,7871.63,Automotive Accessories,,14956.097,0,2024-10,0–10%
19,171,145,2025-05-25,3,20,UPI,Saksham Yadav,Female,31,Delhi,2023-12-27,SlateBlue Novel,5,816.45,Books,,1959.4800000000005,0,2025-05,10–20%
20,92,43,2025-03-16,2,5,Cash on Delivery,Ranbir Atwal,Other,50,Ahmedabad,2022-08-15,Gray Comic,5,717.78,Books,,1363.782,0,2025-03,0–10%
21,40,31,2025-05-25,3,10,UPI,Ivana Wason,Female,55,Kolkata,2024-06-14,DeepSkyBlue Analog Watch,15,844.18,Watches,,2279.286,0,2025-05,0–10%
22,22,9,2025-05-16,1,30,Card,Taimur Badami,Female,51,Hyderabad,2023-10-09,Silver Remote Car,11,1678.46,Toys,,1174.922,0,2025-05,20–30%
23,192,124,2024-12-11,4,25,UPI,Misha Lata,Female,37,Pune,2023-10-09,SlateGray Laptop,4,40250.55,Laptops,,120751.65000000001,0,2024-12,20–30%
24,138,189,2024-12-03,5,5,UPI,Abram Dugar,Male,44,Bengaluru,2022-12-14,FireBrick Cushion Cover,7,2931.85,Home Decor,,13926.287499999999,0,2024-12,0–10%
25,105,127,2025-03-27,2,5,UPI,Anahi Sachdeva,Male,54,Kolkata,2023-03-17,MediumVioletRed Cushion Cover,7,4694.76,Home Decor,,8920.044,0,2025-03,0–10%
26,134,160,2025-02-17,5,0,UPI,Divyansh Shankar,Female,21,Hyderabad,2023-05-12,Violet Laptop,4,149989.17,Laptops,,749945.8500000001,0,2025-02,0%
27,17,88,2024-07-27,4,30,Card,Ivan Rao,Male,59,Pune,2022-09-10,MediumSpringGreen Notebook,5,604.3,Books,,1692.0399999999997,0,2024-07,20–30%
28,76,137,2024-09-04,2,25,Card,Vidur Varghese,Female,50,Bengaluru,2024-07-01,Sienna Smartphone,3,62141.37,Smartphones,,93212.05500000001,0,2024-09,20–30%
29,191,94,2025-03-23,3,20,UPI,Kashvi Soman,Male,42,Kolkata,2021-08-11,Yellow Electric Kettle,8,10764.87,Kitchen Appliances,150.0,25835.688000000002,1,2025-03,10–20%
30,198,21,2024-07-25,2,30,Card,Divij Vala,Female,47,Delhi,2021-08-12,PaleGoldenRod Bracelet,16,21540.73,Jewellery,,30157.021999999997,0,2024-07,20–30%
31,178,116,2025-02-20,5,15,UPI,Nitya Das,Male,28,Pune,2022-04-01,Fuchsia Diary,6,100.61,Stationery,,427.5925,0,2025-02,10–20%
32,80,151,2025-04-03,4,5,UPI,Sahil Sood,Female,21,Ahmedabad,2022-06-03,Tomato Jeans,1,606.7,Clothing,,2305.46,0,2025-04,0–10%
33,196,28,2024-09-05,3,25,UPI,Tiya Baral,Female,57,Jaipur,2021-07-21,DimGray Bracelet,16,57847.14,Jewellery,,130156.06499999999,0,2024-09,20–30%
34,153,110,2024-11-17,1,10,UPI,Aarna Virk,Male,45,Mumbai,2022-12-12,Peru Sandals,2,3684.08,Footwear,,3315.672,0,2024-11,0–10%
35,33,198,2025-01-26,3,30,UPI,Sara Deshmukh,Male,44,Kolkata,2024-06-25,SaddleBrown Marker Pack,6,345.38,Stationery,,725.2979999999999,0,2025-01,20–30%
36,1,189,2025-03-22,3,5,Card,Nirvaan Kakar,Female,43,Jaipur,2021-10-10,FireBrick Cushion Cover,7,2931.85,Home Decor,123.0,8355.7725,1,2025-03,0–10%
37,79,148,2024-08-09,1,10,Card,Ishita Kaul,Male,48,Chennai,2024-02-15,Maroon Notebook,5,894.41,Books,,804.9689999999999,0,2024-08,0–10%
38,128,15,2025-01-07,3,20,UPI,Urvi Thaker,Female,50,Bengaluru,2022-05-25,RoyalBlue Lamp,7,3265.03,Home Decor,,7836.072,0,2025-01,10–20%
