order_id,customer_id,product_id,order_date,quantity,discount,payment_method,name,gender,age,age group,region,signup_date,product_name,category_id,price,category_name,return_id,net_price,is_returned,month,month_name,discount_bin,
1,200,175,20-12-2024,3,5,Cash on Delivery,Taimur Bansal,Male,25,25–34,Bengaluru,01-10-2022,White Smartphone,3,51034.7,Smartphones,,145448.895,0,2024-12,December,0–10%,
2,25,66,29-12-2024,5,25,UPI,Tarini Anne,Female,47,45+,Delhi,26-04-2022,Plum Gaming Console,19,30047.65,Gaming Consoles,,112678.6875,0,2024-12,December,20%+,
3,109,55,21-07-2024,1,15,Card,Jayan Ahluwalia,Female,37,35–44,Delhi,25-08-2023,WhiteSmoke Gaming Console,19,16921.41,Gaming Consoles,,14383.1985,0,2024-07,July,10–20%,
4,108,36,26-02-2025,1,30,UPI,Anahita Baral,Female,48,45+,Mumbai,20-03-2023,Thistle Smartphone,3,42388.83,Smartphones,,29672.181,0,2025-02,February,20%+,
5,156,158,21-06-2025,4,0,Card,Samar Wali,Male,25,25–34,Hyderabad,19-04-2024,Khaki Shampoo,9,158.12,Beauty,130,632.48,1,2025-06,June,0%,
6,88,60,16-09-2024,5,25,UPI,Lakshay Bhasin,Male,48,45+,Kolkata,24-09-2021,Teal Saree,1,1096.45,Clothing,90,4111.6875,1,2024-09,September,20%+,
7,18,187,29-03-2025,1,15,Card,Abram Butala,Male,35,35–44,Pune,16-03-2023,Yellow DSLR Camera,18,225198.26,Cameras,,191418.521,0,2025-03,March,10–20%,
8,57,27,20-07-2024,3,30,NetBanking,Ehsaan Bhavsar,Male,31,25–34,Hyderabad,22-10-2023,Beige Digital Thermometer,17,3867.92,Health & Personal Care,30,8122.632,1,2024-07,July,20%+,
9,98,7,24-03-2025,4,5,UPI,Mishti Mani,Male,19,<25,Ahmedabad,26-05-2022,DarkGreen Tâ€‘Shirt,1,2410.33,Clothing,,9159.254,0,2025-03,March,0–10%,
10,170,1,16-08-2024,1,30,UPI,Rasha Khare,Female,18,<25,Mumbai,10-09-2023,Silver Formal Shoes,2,804.15,Footwear,,562.905,0,2024-08,August,20%+,
11,67,168,13-12-2024,2,30,UPI,Himmat Rajan,Female,55,45+,Pune,20-10-2023,Gainsboro Kurta,1,2579.9,Clothing,,3611.86,0,2024-12,December,20%+,
12,140,71,07-05-2025,1,30,Card,Aayush Jani,Female,37,35–44,Pune,31-12-2021,Turquoise Football,12,3808.86,Sports Equipment,,2666.202,0,2025-05,May,20%+,
13,164,145,04-01-2025,3,15,UPI,Baiju Sangha,Male,26,25–34,Chennai,12-06-2024,SlateBlue Novel,5,816.45,Books,,2081.9475,0,2025-01,January,10–20%,
14,69,20,25-06-2025,5,25,UPI,Gatik Chandra,Male,20,<25,Chennai,03-11-2023,Beige Marker Pack,6,418.27,Stationery,,1568.5125,0,2025-06,June,20%+,
15,83,31,10-07-2024,4,20,Cash on Delivery,Oorja Tak,Female,45,45+,Kolkata,04-09-2021,DeepSkyBlue Analog Watch,15,844.18,Watches,,2701.376,0,2024-07,July,10–20%,
16,76,32,17-07-2024,3,10,Card,Vidur Varghese,Female,50,45+,Bengaluru,01-07-2024,Ivory Analog Watch,15,999.45,Watches,,2698.515,0,2024-07,July,0–10%,
17,91,195,15-02-2025,3,30,NetBanking,Jivin Hans,Female,24,<25,Pune,11-08-2023,BlueViolet Digital Thermometer,17,5870.29,Health & Personal Care,,12327.609,0,2025-02,February,20%+,
18,17,121,11-10-2024,2,5,UPI,Ivan Rao,Male,59,45+,Pune,10-09-2022,Plum Car Vacuum,13,7871.63,Automotive Accessories,,14956.097,0,2024-10,October,0–10%,
19,171,145,25-05-2025,3,20,UPI,Saksham Yadav,Female,31,25–34,Delhi,27-12-2023,SlateBlue Novel,5,816.45,Books,,1959.48,0,2025-05,May,10–20%,
20,92,43,16-03-2025,2,5,Cash on Delivery,Ranbir Atwal,Other,50,45+,Ahmedabad,15-08-2022,Gray Comic,5,717.78,Books,,1363.782,0,2025-03,March,0–10%,
21,40,31,25-05-2025,3,10,UPI,Ivana Wason,Female,55,45+,Kolkata,14-06-2024,DeepSkyBlue Analog Watch,15,844.18,Watches,,2279.286,0,2025-05,May,0–10%,
22,22,9,16-05-2025,1,30,Card,Taimur Badami,Female,51,45+,Hyderabad,09-10-2023,Silver Remote Car,11,1678.46,Toys,,1174.922,0,2025-05,May,20%+,
23,192,124,11-12-2024,4,25,UPI,Misha Lata,Female,37,35–44,Pune,09-10-2023,SlateGray Laptop,4,40250.55,Laptops,,120751.65,0,2024-12,December,20%+,
24,138,189,03-12-2024,5,5,UPI,Abram Dugar,Male,44,35–44,Bengaluru,14-12-2022,FireBrick Cushion Cover,7,2931.85,Home Decor,,13926.2875,0,2024-12,December,0–10%,
25,105,127,27-03-2025,2,5,UPI,Anahi Sachdeva,Male,54,45+,Kolkata,17-03-2023,MediumVioletRed Cushion Cover,7,4694.76,Home Decor,,8920.044,0,2025-03,March,0–10%,
